name,year,group,description,leakSiteOnlineLast2Weeks,hasLeakSite,utilizeHackerForums,utilizeTelegram,notComfirmActivity,noExposureActivities,shadowSyndigate,parents,relationType
DEFRAY777,2018,A,,,,,,,y,,,
MEDUSA,2019,A,,y,y,y,y,,,,,
PWNDLOCKER,2019,A,,,,,,,y,,,
RANSOM EXX,2020,A,,y,y,,,,,,DEFRAY777,Rebrand
AKO,2020,A,,,y,,,,,,MEDUSA,Relationship
THUNDER X,2020,A,,,y,,,,,,AKO,Rebrand
RANZY LOCKER,2020,A,,,y,,,,,,THUNDER X,Rebrand
PROLOCK,2020,A,,,,,,,y,,PWNDLOCKER,Rebrand
CHAOS,2021,A,,,,,,,y,,,
ATOMSILO,2021,A,,,y,,,,,,,
ONYX,2022,A,,,y,,,,,,CHAOS,Relationship
VSOP,2022,A,,,y,,,,,,ONYX,Rebrand
YASHMA,2022,A,,,,,,,y,,CHAOS,Rebrand
SOLIDBIT,2022,A,,,y,,,,,,YASHMA,Relationship
LOCKDATA,2022,A,,,y,,,,,,CHAOS,Relationship
PANDORA,2022,A,,,y,,,,,,ROOK,Rebrand
"CATB (CATB99, BAXTOY)",2022,A,,,,,,,y,,PANDORA,Relationship
BLACKSNAKE,2023,A,,,,,,,y,,CHAOS,Relationship
CLOAK,2023,A,,y,y,,,,,,,
CHACHA,2019,B,,,,,,,y,,,
RAGNAR LOCKER,2019,B,,y,y,,,,,,,
SUNCRYPT,2019,B,,,y,,,,,,,
MAZE,2019,B,,,y,,,,,,CHACHA,Rebrand
SEKHMET,2020,B,,,y,,,,,,,
EGREGOR,2020,B,,,y,,,,,,PROLOCK|SEKHMET|MAZE,Relationship|Relationship|Rebrand
VASA LOCKER (BABY),2020,B,,,,,,,y,,,
LOCKFILE,2021,B,,,y,,,,,,,
BABUK,2021,B,,y,y,,,,,,VASA LOCKER (BABY)|ASTRO (ASTRA),Rebrand|Relationship
ROOK,2021,B,,,y,,,,,,BABUK,Relationship
NIGHT SKY,2021,B,,,y,,,,,,ROOK,Relationship
BIANLIAN,2021,B,,y,y,,,y,,,,
PAYLOAD.BIN,2021,B,,,y,,,,,,BABUK,Rebrand
X001XS,2022,B,,,y,,,,,,ROOK,Relationship
CHEERS,2022,B,,,y,,,,,,BIANLIAN|BABUK,Relationship|Relationship
DARK ANGELS,2022,B,,,y,,,,,,BABUK,Rebrand
GOOD DAY,2023,B,,,,,,,y,,CLOAK,Relationship
DUNGHILL,2023,B,,y,y,,y,,,,DARK ANGELS,Rebrand
MOUNT LOCKER,2020,C,,,y,,,,,,,
ASTRO (ASTRA),2021,C,,,y,,,,,,,
XING,2021,C,,,y,,,,,,,
GROOVE,2021,C,,,y,,,,,,BABUK,Rebrand
RAMP,2021,C,,,,,,,,,GROOVE,Relationship
QUANTUM,2021,C,,y,y,,,,,y,MOUNT LOCKER|CONTI|VICE SOCIETY,Rebrand|Relationship|Relationship
DAIXIN,2022,C,,y,y,,,,,,BABUK,Relationship
DAGON,2022,C,,,,,,,y,,QUANTUM,Relationship
RA GROUP,2023,C,,y,y,,,,,,BABUK,Relationship
HERMES,2017,D,,,,,,,y,,,
RYUK,2018,D,,,,,,,y,y,HERMES,Relationship
JSWORM,2019,D,,,,,,,y,,,
NEMTY,2019,D,,,y,,,,,,JSWORM,Rebrand
CONTI,2019,D,,,y,,,,,y,RYUK,Relationship
NEFILIM,2020,D,,,y,,,,,,NEMTY,Rebrand
WHITERABBIT (MARIO),2021,D,,,,,,,y,,BABUK,Relationship
KARMA,2021,D,,,y,,,,,,NEFILIM,Rebrand
HIVE,2021,D,,,y,,,,,,CONTI,Relationship
RANSOMHOUSE,2021,D,,y,y,,y,y,,,HIVE|BIANLIAN|WHITERABBIT (MARIO)|LAPSUS$,Relationship|Relationship|Relationship|Relationship
AVOSLOCKER,2021,D,,,y,,,,,,CONTI,Relationship
NOKOYAWA,2022,D,,y,y,,,,,y,BABUK|KARMA,Relationship|Relationship
NEVADA,2022,D,,,y,y,,,,,NOKOYAWA,Relationship
PLAY,2022,D,,y,y,,,,,y,,
NB65,2022,D,,,,,,,y,,CONTI,Relationship
DONUT,2022,D,,y,y,,,,,,HIVE|MONTI,Relationship|Relationship
EVEREST,2020,E,,y,y,,,,,,RANSOMED.VC,Relationship
LAPSUS$,2021,E,,,,,y,y,,,,
BLACKBYTE,2021,E,,y,y,,,,,,CONTI|EVEREST,Relationship|Relationship
KARAKURT,2021,E,,,y,,,y,,,CONTI,Relationship
DIAVOL,2021,E,,,,,,,y,,CONTI|KARAKURT,Relationship|Relationship
MONTI,2022,E,,y,y,,,,,,CONTI,Relationship
SILENT RANSOM GROUP,2022,E,,,,,,,y,,CONTI,Relationship
PUTIN TEAM,2022,E,,,,,y,,,,CONTI,Relationship
SCARECROW,2022,E,,,,,,,y,,CONTI,Relationship
BLUESKY,2022,E,,y,,,,,,,CONTI,Relationship
MEOW,2022,E,,,,,,,y,,CONTI,Relationship
TOMMYLEAKS,2022,E,,,,,,,y,,KARAKURT,Relationship
SCHOOLBOYS,2022,E,,,,,,,y,,KARAKURT,Relationship
RANSOMED.VC,2023,E,,y,y,y,y,y,,,,
VEGA,2019,F,,,,,,,y,,,
ZEPPELIN,2019,F,,,,,,,y,,VEGA|VICE SOCIETY,Relationship|Relationship
HELLO KITTY (FIVE HANDS),2020,F,,,y,,,,,,CONTI|VICE SOCIETY,Relationship|Relationship
ALPHV (BLACKCAT),2021,F,,y,y,,,,,y,CONTI|BLACKMATTER,Relationship|Relationship
VICE SOCIETY,2021,F,,y,y,,,,,,ALPHV (BLACKCAT)|REDALERT (N13V),Relationship|Relationship
YANLUOWANG,2021,F,,,y,,,,,,LAPSUS$|HELLO KITTY (FIVE HANDS),Relationship|Relationship
ZEON,2022,F,,,,,,,y,,CONTI,Relationship
REDALERT (N13V),2022,F,,,y,,,,,,,
POLYVICE,2022,F,,,,,,,y,,VICE SOCIETY,Rebrand
ROYAL,2022,F,,y,y,,,,,y,ZEON|ALPHV (BLACKCAT),Rebrand|Relationship
BLACKSUIT,2023,F,,y,y,,,,,,ROYAL,Relationship
METAENCRYPTOR,2023,F,,y,y,,,,,,,
LOSTTRUST,2023,F,,y,y,,,,,,METAENCRYPTOR,Rebrand
EVILCORP,2015,G,,,,,,,y,,,
CRYPTOMIX,2016,G,,,,,,,y,,,
CRYPTON,2017,G,,,y,,,,,,,
BITPAYMER,2017,G,,,,,,,y,,EVILCORP,Relationship
CLOP,2019,G,,y,y,,,,,y,CRYPTOMIX,Relationship
LOCKBIT (ABCD),2019,G,,,y,,,,,,,
DOPPELPAYMER,2019,G,,,y,,,,,,BITPAYMER,Rebrand
DARKSIDE,2020,G,,,,,,,y,,,
BLACKMATTER,2021,G,,,y,,,,,,DARKSIDE,Rebrand
MACAW LOCKER,2021,G,,,,,,,y,,EVILCORP,Relationship
GRIEF,2021,G,,,y,,,,,,DOPPELPAYMER,Rebrand
ENTROPY,2021,G,,,y,,,,,,GRIEF,Rebrand
LOCKBIT2.0 (LOCKBIT RED),2021,G,,,y,,,,,,LOCKBIT (ABCD)|EVILCORP|CRYPTON|BADLOCK (RORSCHACH),Rebrand|Relationship|Relationship|Relationship|Relationship
BLACK BASTA,2022,G,,y,y,,,,,,CONTI,Relationship
BADLOCK (RORSCHACH),2022,G,,,,,,,y,,,
LOCKBIT3.0 (LOCKBIT BLACK),2022,G,,y,y,,,,,,LOCKBIT2.0 (LOCKBIT RED)|CONTI|HARDBIT|BLOODY|THREEAM|SCHOOLBOYS|ALPHV (BLACKCAT)|BLACKMATTER,Rebrand|Relationship|Relationship|Relationship|Relationship|Relationship|Relationship|Relationship
